Row Labels,CONNECTIVITY,BATTERY ,SOUND ,DURABILITY,GenZ ,,,,,,,,,,,
Neutral,10,10,11,12,9,,,,,,,,,,,
Grand Total,10,10,11,12,9,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CONNECTIVITY,BATTERY ,SOUND ,DURABILITY,GenZ ,,,,,,,,,,,,
12,13,12,16,10,,,,,,,,,,,,
12,13,12,16,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CONNECTIVITY,BATTERY ,SOUND ,DURABILITY,GenZ ,,,,,,,,,,,,
9,11,11,11,12,,,,,,,,,,,,
9,11,11,11,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ISSUE-SENTIMENT %
CONNECTIVITY,BATTERY ,SOUND ,DURABILITY,GenZ ,,,,,,,,,,,,
10,10,11,12,9,,,,,,,,,,,,
10,10,11,12,9,,,,,,,,,,,,
