Row Labels,Sum of CONNECTIVITY FLAG,Sum of BATTERY FLAG,Sum of SOUND FLAG,Sum of DURABILITY FLAG,Sum of GenZ flag,,,,
Positive,29.03%,32.35%,32.35%,28.21%,38.71%,,,,
Neutral,32.26%,29.41%,32.35%,30.77%,29.03%,,,,
Negative,38.71%,38.24%,35.29%,41.03%,32.26%,,,,
Grand Total,100.00%,100.00%,100.00%,100.00%,100.00%,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Row Labels,Sum of CONNECTIVITY FLAG,Sum of BATTERY FLAG,Sum of SOUND FLAG,Sum of DURABILITY FLAG,Sum of GenZ flag,,,,
Positive,29.03%,32.35%,32.35%,28.21%,38.71%,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
